unique_id,org_fk,main_name_fk,index_name_fk,version_fk,country_a_id_fk,country_b_id_fk,pattern_length_fk,correlation,start_year_a_fk,index_values_a,start_year_b_fk,index_values_b,creation_date
1188130,The Fund For Peace,Fragile State Index,Total,2023,15,54,15,0.92706,2006,"81.9,81.2,81.0,84.6,84.4,81.9,79.8,78.2,77.8,77.3,76.3,76.3,74.63031997786744,73.2,71.28215920806875",2007,"78.6,78.6,80.6,79.4,76.6,73.1,72.8,70.8,67.4,66.3,64.6,62.89031679299263,60.8,59.227756982641615,59.5",2023-12-14 06:18:07
2126215,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,15,54,15,0.91682,2006,"7.0,7.2,7.2,7.3,7.3,7.0,6.7,6.9,7.0,6.7,6.4,6.2,6.1,5.8,5.938549971908307",2007,"7.7,7.7,7.5,7.3,6.9,6.6,6.3,6.0,5.7,5.4,5.2,4.9,4.6,4.3,4.0",2023-12-15 06:50:41
2658660,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,15,54,15,0.9138,2006,"7.3,7.3,7.3,7.9,7.9,7.5,7.2,6.9,6.7,6.4,6.7,6.5,6.2,5.9,5.6000000000000005",2007,"5.5,5.5,5.5,5.5,5.1,4.8,4.8,4.8,4.5,4.2,4.0,3.7,3.4,3.1,2.8",2023-12-15 17:04:33
2995994,The Fund For Peace,Fragile State Index,E1: Economy,2023,15,54,15,0.97797,2006,"5.9,6.3,5.9,6.1,5.9,5.5,5.2,4.7,4.4,4.1,3.8,4.1,4.1,4.4,4.352511675852315",2007,"6.3,6.1,6.3,6.3,6.0,5.5,5.2,4.8,4.5,4.2,4.0,4.008166869626702,4.2,4.3,4.8",2023-12-16 09:27:24
3966336,The Fund For Peace,Fragile State Index,E2: Economic Inequality,2023,15,54,15,0.92821,2006,"7.5,7.4,7.0,7.4,7.3,6.9,6.6,6.1,6.2,5.9,5.6,5.9,5.6000000000000005,5.5,5.2",2007,"7.2,7.2,6.8,6.6,6.3,5.9,5.9,5.9,5.9,5.6,5.4,5.1000000000000005,4.8,4.5,4.2",2023-12-17 11:11:03
4681805,The Fund For Peace,Fragile State Index,E3: Human Flight and Brain Drain,2023,15,54,15,0.946,2006,"5.0,5.3,5.3,5.7,5.7,5.4,5.1,4.7,4.7,4.3,4.0,4.3,4.0,4.3,4.291097560308109",2007,"6.0,6.8,7.2,7.2,6.9,6.6,6.3,6.0,5.7,5.4,5.2,4.9,5.2,5.233029847501799,5.5",2023-12-18 10:46:33
6404816,The Fund For Peace,Fragile State Index,S1: Demographic Pressures,2023,15,54,15,0.91931,2006,"6.0,6.0,6.0,6.4,6.2,5.8,5.6,5.3,5.4,5.1,4.8,4.6,4.3,4.0,3.7",2007,"6.5,6.5,6.9,6.7,6.3,6.0,6.6,5.9,5.6,5.7,5.5,5.6,5.3,5.0,5.0",2023-12-19 21:46:42
1188129,The Fund For Peace,Fragile State Index,Total,2023,15,54,15,0.96036,2006,"81.9,81.2,81.0,84.6,84.4,81.9,79.8,78.2,77.8,77.3,76.3,76.3,74.63031997786744,73.2,71.28215920806875",2006,"81.9,78.6,78.6,80.6,79.4,76.6,73.1,72.8,70.8,67.4,66.3,64.6,62.89031679299263,60.8,59.227756982641615",2023-12-14 06:18:07
2126214,The Fund For Peace,Fragile State Index,C1: Security Apparatus,2023,15,54,15,0.92235,2006,"7.0,7.2,7.2,7.3,7.3,7.0,6.7,6.9,7.0,6.7,6.4,6.2,6.1,5.8,5.938549971908307",2006,"8.0,7.7,7.7,7.5,7.3,6.9,6.6,6.3,6.0,5.7,5.4,5.2,4.9,4.6,4.3",2023-12-15 06:50:41
2658659,The Fund For Peace,Fragile State Index,C3: Group Grievance,2023,15,54,15,0.93506,2006,"7.3,7.3,7.3,7.9,7.9,7.5,7.2,6.9,6.7,6.4,6.7,6.5,6.2,5.9,5.6000000000000005",2006,"5.5,5.5,5.5,5.5,5.5,5.1,4.8,4.8,4.8,4.5,4.2,4.0,3.7,3.4,3.1",2023-12-15 17:04:33
2995993,The Fund For Peace,Fragile State Index,E1: Economy,2023,15,54,15,0.96601,2006,"5.9,6.3,5.9,6.1,5.9,5.5,5.2,4.7,4.4,4.1,3.8,4.1,4.1,4.4,4.352511675852315",2006,"6.5,6.3,6.1,6.3,6.3,6.0,5.5,5.2,4.8,4.5,4.2,4.0,4.008166869626702,4.2,4.3",2023-12-16 09:27:24
